"Term","Estimate","Std. Error","z value","Pr(>|z|)","P value class","R2 (McFadden)"
"(Intercept)",-1.09223056802563,1.23948844877669,-0.881194632433735,0.378212483991477,"p = .378",0.0294
"Governance indicator",0.468911579176323,0.230826613757848,2.03144503808491,0.0422098696174415,"p = .042*",0.0294
"Fishery vulnerability",0.00699857086729977,0.0113344547842345,0.617459860269092,0.536931449222158,"p = .537",0.0294
